Year,State,Federal,Local,Total
1925,85239,6430,,91669
1926,91188,6803,,97991
1927,101624,7722,,109346
1928,108157,8233,,116390
1929,107532,12964,,120496
1930,117268,12185,,129453
1931,124118,12964,,137082
1932,125721,12276,,137997
1933,125962,10848,,136810
1934,126258,12058,,138316
1935,129418,14762,,144180
1936,129664,15374,,145038
1937,137432,15309,,152741
1938,143152,17133,,160285
1939,160088,19730,,179818
1940,154446,19260,99249,272955
1941,146974,18465,,165439
1942,133761,16623,,150384
1943,121107,16113,,137220
1944,114317,18139,,132456
1945,115011,18638,,133649
1946,122457,17622,,140079
1947,134158,17146,,151304
1948,139649,16328,,155977
1949,146881,16868,,163749
1950,149031,17134,86492,252657
1951,148285,17395,,165680
1952,150219,18014,,168233
1953,154216,19363,,173579
1954,162898,20003,,182901
1955,165692,20088,,185780
1956,169431,20134,,189565
1957,174836,20420,,195256
1958,184094,21549,,205643
1959,185613,22492,,208105
1960,189735,23218,119671,332624
1961,196453,23696,,220149
1962,194886,23944,,218830
1963,194155,23128,,217283
1964,192627,21709,,214336
1965,189855,21040,,210895
1966,180409,19245,,199654
1967,175317,19579,,194896
1968,167571,19703,,187274
1969,177513,19623,,197136
1970,176403,20038,129189,325630
1971,177113,20948,,198061
1972,174379,21713,,196092
1973,181396,22815,,204211
1974,196105,22361,,218466
1975,216462,24131,,240593
1976,235853,26980,,262833
1977,247507,28650,,276157
1978,268005,26391,158394,452790
1979,278882,22588,,301470
1980,295353,20611,163994,479958
1981,331504,22169,,353673
1982,371864,23652,,395516
1983,393015,26331,223551,642897
1984,415796,27602,234500,677898
1985,447873,32695,256615,737183
1986,485553,36531,274444,796528
1987,521289,39523,295873,856685
1988,560994,42738,343569,947301
1989,633739,47168,395553,1076460
1990,689577,50403,405320,1145300
1991,732916,56696,426479,1216091
1992,780571,65706,444584,1290861
1993,857675,74399,459804,1391878
1994,936896,79795,486474,1503165
1995,1001359,83663,507044,1592066
1996,1048907,88815,518492,1656214
1997,1099347,94987,567079,1761413
1998,1152792,103682,592462,1848936
1999,1189806,114275,605943,1910024
2000,1209130,125044,621149,1955323
2001,1208708,136509,631240,1976457
2002,1237476,143040,665475,2045991
2003,1256442,151919,691301,2099662
2004,1274591,159137,713990,2147718
2005,1296693,166173,747529,2210395
2006,1331065,173533,765819,2270417
2007,1353647,179204,780174,2313025
2008,1365409,182333,785533,2333275
2009,1365688,187886,767434,2321008
2010,1362028,190641,748728,2301397
2011,1341797,197050,735601,2274448
2012,1315856,196574,744524,2256954
2013,1325305,195098,731208,2251611
2014,1316407,191374,744592,2252373
2015,1298159,178688,727400,2204247
2016,1288466,171482,740700,2200648
2017,1273674,166203,745200,2185077
2018,1249717,163653,738400,2151770
2019,1221288,158498,734500,2114286
2020,1182166,142028,549100,1873294